Estación,Date,Latitud,Longitud,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B8A,NDWI,NDMI,MSI,NMDI,GVMI,SRWI,Humedad_Suelo
Boulder-14-W,2022-08-29,40.0354,-105.5409,0.0906,0.0768,0.0744,0.0632,0.0944,0.1847,0.2196,0.238,0.2395,0.1031,0.0015,0.1723,0.101,-0.52368754,0.98747396,0.006302521,0.99271494,0.88038945,3.1989248,0.201
Boulder-14-W,2022-10-03,40.0354,-105.5409,0.101,0.0856,0.0779,0.0777,0.1077,0.1714,0.2012,0.2214,0.2304,0.0939,0.0013,0.1834,0.1133,-0.47945207,0.98832506,0.0058717257,0.9935976,0.8756931,2.8421052,0.089
Boulder-14-W,2022-11-07,40.0354,-105.5409,0.2985,0.3941,0.3485,0.4177,0.3389,0.4207,0.4628,0.5172,0.4453,0.1866,0.0022,0.056,0.0364,-0.19487117,0.99152863,0.004253674,0.99235314,0.93055993,1.4840745,0.079
Boulder-14-W,2022-07-25,40.0354,-105.5409,0.0938,0.0786,0.0823,0.0643,0.0983,0.2081,0.2445,0.2694,0.2583,0.1109,0.0013,0.1775,0.0979,-0.5319874,0.99039525,0.004825538,0.994199,0.890965,3.27339,0.108
Boulder-14-W,2023-05-01,40.0354,-105.5409,0.2244,0.1252,0.1271,0.141,0.2163,0.2391,0.2583,0.2137,0.2899,0.1399,0.0017,0.1614,0.1093,-0.25410795,0.98421544,0.007955077,0.99097663,0.8706023,1.6813532,0.241
Boulder-14-W,2023-06-05,40.0354,-105.5409,0.6058,0.6233,0.5971,0.6385,0.6304,0.6557,0.683,0.6636,0.6945,0.2594,0.0201,0.4277,0.323,-0.05274848,0.9412023,0.03028933,0.9638294,0.9002116,1.1113716,0.258
Boulder-14-W,2023-08-14,40.0354,-105.5409,0.1091,0.072,0.0684,0.0557,0.0882,0.1932,0.2262,0.2316,0.2413,0.1316,0.0028,0.1645,0.0991,-0.54399997,0.9761092,0.012089809,0.9859614,0.8713318,3.3859649,0.067
Boulder-14-W,2023-07-10,40.0354,-105.5409,0.1036,0.0874,0.1,0.0829,0.1289,0.2349,0.2778,0.2978,0.3018,0.1253,0.0026,0.2157,0.1327,-0.49723482,0.9826897,0.008730692,0.9899245,0.89248335,2.978,0.179
Boulder-14-W,2024-06-24,40.0354,-105.5409,0.1003,0.0867,0.0922,0.0836,0.1133,0.1967,0.2322,0.2467,0.2534,0.1199,0.0015,0.216,0.1343,-0.45588672,0.987913,0.0060802596,0.99353725,0.88321567,2.675705,0.046
Boulder-14-W,2024-09-02,40.0354,-105.5409,0.1065,0.0916,0.0866,0.0809,0.1095,0.1964,0.225,0.2482,0.2466,0.1072,0.0021,0.1917,0.115,-0.4826762,0.98322016,0.008460918,0.9904977,0.8806373,2.866051,0.048
Boulder-14-W,2024-07-29,40.0354,-105.5409,0.0907,0.0781,0.0832,0.0725,0.1018,0.2024,0.2305,0.2629,0.2569,0.1547,0.0066,0.1973,0.1221,-0.51921403,0.9510205,0.025104603,0.9717223,0.8634146,3.1598556,0.08
Boulder-14-W,2024-11-11,40.0354,-105.5409,0.3706,0.5664,0.5305,0.5519,0.4998,0.4768,0.5491,0.6479,0.5426,0.2288,0.0029,0.0557,0.0387,-0.0996266,0.99108785,0.0044759996,0.99179053,0.94058126,1.2213006,0.023
Boulder-14-W,2024-10-07,40.0354,-105.5409,0.1038,0.0903,0.0854,0.0925,0.1104,0.1608,0.1793,0.2089,0.213,0.1301,0.0121,0.1954,0.1258,-0.4196398,0.89049774,0.05792245,0.9418827,0.81173027,2.446136,0.036
